SECURITY_TYPE;TYPE;SECID;SHORTNAME;NAME;REGNUMBER;PRIMARY_BOARDID;FACEVALUE;FACEUNIT;ISIN
Биржевая облигация;exchange_bond;RU000A101VK7;СберИОС286;СберИОС 001Р-286R 5Г DEF ИНД;TQCB;1000;RUB;RU000A101VK7
Биржевая облигация;exchange_bond;RU000A101VL5;СберИОС285;СберИОС 001Р-285R ТАТН_prt 5Г;TQCB;1000;RUB;RU000A101VL5
Биржевая облигация;exchange_bond;RU000A101VS0;СберИОС288;СберИОС 001Р-288R 5Г ESG;TQCB;1000;RUB;RU000A101VS0
Биржевая облигация;exchange_bond;RU000A101W28;СберИОС276;СберИОС 001Р-276R 5Г CDX 75%;TQCB;1000;RUB;RU000A101W28
Биржевая облигация;exchange_bond;RU000A101W36;СберИОС277;СберИОС 001Р-277R 5Г H.C.75%;TQCB;1000;RUB;RU000A101W36
Биржевая облигация;exchange_bond;RU000A101WG3;СберИОС292;СберИОС 001Р-292R 5Г МГТРД ИНД;TQCB;1000;RUB;RU000A101WG3
Биржевая облигация;exchange_bond;RU000A101WU4;СберИОС296;СберИОС 001Р-296R 5Г ESG;TQCB;1000;RUB;RU000A101WU4
Биржевая облигация;exchange_bond;RU000A101WV2;СберИОС295;СберИОС 001Р-295R 5Y ТЕХ;TQCB;1000;RUB;RU000A101WV2
Биржевая облигация;exchange_bond;RU000A101WT6;СберИОС287;СберИОС 001Р-287R 5Г SBERDVTI;TQCB;1000;RUB;RU000A101WT6
Биржевая облигация;exchange_bond;RU000A101Y83;СберИОС291;СберИОС 001Р-291R 5Y PP 75%;TQCB;1000;RUB;RU000A101Y83
Биржевая облигация;exchange_bond;RU000A101YG9;СберИОС298;СберИОС 001Р-298R 5Г БТЕХ ИНД;TQCB;1000;RUB;RU000A101YG9
Биржевая облигация;exchange_bond;RU000A101ZQ5;СберИОС293;СберИОС 001Р-293R 5Г CDX;TQCB;1000;RUB;RU000A101ZQ5
Биржевая облигация;exchange_bond;RU000A101ZR3;СберИОС301;СберИОС 001Р-301R 5Y ТЕХ;TQCB;1000;RUB;RU000A101ZR3
Биржевая облигация;exchange_bond;RU000A101ZS1;СберИОС302;СберИОС 001Р-302R 5Г ESG;TQCB;1000;RUB;RU000A101ZS1
Биржевая облигация;exchange_bond;RU000A101ZV5;СберИОС294;СберИОС 001Р-294R 5Г RBPP;TQCB;1000;RUB;RU000A101ZV5
Биржевая облигация;exchange_bond;RU000A1020F7;СберИОС304;СберИОС 001Р-304R 5Г МГТРД ИНД;TQCB;1000;RUB;RU000A1020F7
Биржевая облигация;exchange_bond;RU000A1020G5;СберИОС314;СберИОС 001Р-314R 5Г SBERDVTI;TQCB;1000;RUB;RU000A1020G5
Биржевая облигация;exchange_bond;RU000A102168;СберИОС311;СберИОС 001Р-311R 5Y ТЕХ;TQCB;1000;RUB;RU000A102168
Биржевая облигация;exchange_bond;RU000A102176;СберИОС312;СберИОС 001Р-312R 5Г ESG;TQCB;1000;RUB;RU000A102176
Биржевая облигация;exchange_bond;RU000A1021M1;СберИОС305;СберИОС 001Р-305R 5Г МГТРД ИНД;TQCB;1000;RUB;RU000A1021M1
Биржевая облигация;exchange_bond;RU000A1021N9;СберИОС306;СберИОС 001Р-306R 5Г БТЕХ ИНД;TQCB;1000;RUB;RU000A1021N9
