;;;;
Акция обыкновенная;common_share;SBER;Сбербанк;Сбербанк России ПАО ао;RUB;RU0009029540
Биржевая облигация;exchange_bond;RU000A1026P3;СберИОС343;СберИОС 001Р-343R 5Г ВСТГЭ ИНД;RUB;RU000A1026P3
Биржевая облигация;exchange_bond;RU000A1027A3;СберИОС348;СберИОС 001Р-348R IPO_КНД 5Г;RUB;RU000A1027A3
Биржевая облигация;exchange_bond;RU000A1028J2;СберИОС354;СберИОС 001Р-354R 5Г SBERLV85;RUB;RU000A1028J2
Биржевая облигация;exchange_bond;RU000A1028K0;СберИОС355;СберИОС 001Р-355R 5Y ТЕХ;RUB;RU000A1028K0
Биржевая облигация;exchange_bond;RU000A1029C5;СберИОС333;СберИОС 001Р-333R 5Г ВП;RUB;RU000A1029C5
Биржевая облигация;exchange_bond;RU000A1029E1;СберИОС351;СберИОС 001Р-351R 5Г ВП;RUB;RU000A1029E1
Биржевая облигация;exchange_bond;RU000A1029Q5;СберИОС359;СберИОС 001Р-359R 5Г ВСТГЭ ИНД;RUB;RU000A1029Q5
Биржевая облигация;exchange_bond;RU000A1029R3;СберИОС357;СберИОС 001Р-357R 5Г РБЧ;RUB;RU000A1029R3
Биржевая облигация;exchange_bond;RU000A1029S1;СберИОС360;СберИОС 001Р-360R 5Г БТЕХ ИНД;RUB;RU000A1029S1
Биржевая облигация;exchange_bond;RU000A102A56;СберИОС353;СберИОС 001Р-353R 5Г СРВП;RUB;RU000A102A56
Биржевая облигация;exchange_bond;RU000A102A64;СберИОС352;СберИОС 001Р-352R 5Г СРВП;RUB;RU000A102A64
Биржевая облигация;exchange_bond;RU000A102A72;СберИОС366;СберИОС 001Р-366R 5Y СМШ;RUB;RU000A102A72
Биржевая облигация;exchange_bond;RU000A102A80;СберИОС367;СберИОС 001Р-367R 5Y СМШ;RUB;RU000A102A80
Биржевая облигация;exchange_bond;RU000A102BE0;СберИОС356;СберИОС 001Р-356R 5Г СРВП;RUB;RU000A102BE0
Биржевая облигация;exchange_bond;RU000A102BR2;СберИОС375;СберИОС 001Р-375R 5Y СМШ;RUB;RU000A102BR2
Биржевая облигация;exchange_bond;RU000A102BS0;СберИОС376;СберИОС 001Р-376R 5Y СМШ;RUB;RU000A102BS0
Биржевая облигация;exchange_bond;RU000A102BZ5;СберИОС373;СберИОС 001Р-373R 5Г ВП;RUB;RU000A102BZ5
Биржевая облигация;exchange_bond;RU000A102C13;СберИОС374;СберИОС 001Р-374R 5Г ВП;RUB;RU000A102C13
Биржевая облигация;exchange_bond;RU000A102C88;СберИОС358;СберИОС 001Р-358R 5Г РБЧ;RUB;RU000A102C88
Биржевая облигация;exchange_bond;RU000A102C96;СберИОС363;СберИОС 001Р-363R 5Г СИТК ИНД;RUB;RU000A102C96
Биржевая облигация;exchange_bond;RU000A102CA6;СберИОС364;СберИОС 001Р-364R 5Г ВСТГЭ ИНД;RUB;RU000A102CA6
Биржевая облигация;exchange_bond;RU000A102D38;СберИОС368;СберИОС 001Р-368R 5Г СРВП;RUB;RU000A102D38
Биржевая облигация;exchange_bond;RU000A102D61;СберИОС382;СберИОС 001Р-382R 5Y СМШ;RUB;RU000A102D61
Биржевая облигация;exchange_bond;RU000A102D87;СберИОС369;СберИОС 001Р-369R 5Г СРВП;RUB;RU000A102D87
Биржевая облигация;exchange_bond;RU000A102D53;СберИОС380;СберИОС 001Р-380R 5Y СМШ;RUB;RU000A102D53
Биржевая облигация;exchange_bond;RU000A102DF3;СберИОС378;СберИОС 001Р-378R 5Г SBERLV85;RUB;RU000A102DF3
Биржевая облигация;exchange_bond;RU000A102DG1;СберИОС370;СберИОС 001Р-370R 5Г СРВП;RUB;RU000A102DG1
Биржевая облигация;exchange_bond;RU000A102FL6;СберИОС377;СберИОС 001Р-377R 5Г ВЗР ИНД;RUB;RU000A102FL6
Биржевая облигация;exchange_bond;RU000A102G76;СберИОС383;СберИОС 001Р-383R 5Г СРВП;RUB;RU000A102G76
Биржевая облигация;exchange_bond;RU000A102GG4;СберИОС384;СберИОС 001Р-384R 5Г СРВП;RUB;RU000A102GG4
Биржевая облигация;exchange_bond;RU000A102GH2;СберИОС385;СберИОС 001Р-385R 5Г СРВП;RUB;RU000A102GH2
Биржевая облигация;exchange_bond;RU000A102GL4;СберИОС389;СберИОС 001Р-389R 5Г БТЕХ ИНД;RUB;RU000A102GL4
Биржевая облигация;exchange_bond;RU000A102GM2;СберИОС390;СберИОС 001Р-390R 5Г БТЕХ ИНД;RUB;RU000A102GM2
Биржевая облигация;exchange_bond;RU000A102GN0;СберИОС391;СберИОС 001Р-391R 5Г РБЧ;RUB;RU000A102GN0
Биржевая облигация;exchange_bond;RU000A102GP5;СберИОС392;СберИОС 001Р-392R 5Г РБЧ;RUB;RU000A102GP5
Биржевая облигация;exchange_bond;RU000A102GQ3;СберИОС393;СберИОС 001Р-393R 5Г НГК;RUB;RU000A102GQ3
Биржевая облигация;exchange_bond;RU000A102GR1;СберИОС394;СберИОС 001Р-394R 5Г НГК;RUB;RU000A102GR1
Биржевая облигация;exchange_bond;RU000A102GZ4;СберИОС396;СберИОС 001Р-396R 5Y СМШ;RUB;RU000A102GZ4
Биржевая облигация;exchange_bond;RU000A102HH0;СберИОС386;СберИОС 001Р-386R 5Г ВП;RUB;RU000A102HH0
Биржевая облигация;exchange_bond;RU000A102HK4;СберИОС387;СберИОС 001Р-387R 5Г ВП;RUB;RU000A102HK4
Биржевая облигация;exchange_bond;RU000A102JW5;СберИОС399;СберИОС 001Р-399R 5Г НГ;RUB;RU000A102JW5
Корпоративная облигация;corporate_bond;RU000A102HC1;Сбер2СУБ2R;Сбербанк 002СУБ-02R;RUB;RU000A102HC1
Биржевая облигация;exchange_bond;RU000A102RC0;СберИОС417;СберИОС 001Р-417R 5Г ВЗР ИНД;RUB;RU000A102RC0
Биржевая облигация;exchange_bond;RU000A102RD8;СберИОС419;СберИОС 001Р-419R 5Г РБЧ;RUB;RU000A102RD8
Биржевая облигация;exchange_bond;RU000A102RE6;СберИОС421;СберИОС 001Р-421R 5Y СМШ;RUB;RU000A102RE6
Биржевая облигация;exchange_bond;RU000A102RA4;СберИОС414;СберИОС 001Р-414R 7Г БТЕХ ИНД;RUB;RU000A102RA4
Биржевая облигация;exchange_bond;RU000A102SU0;СберИОС420;СберИОС 001Р-420R 5Y СМШ;RUB;RU000A102SU0
Биржевая облигация;exchange_bond;RU000A102TD4;СберИОС423;СберИОС 001Р-423R 5Г МФН;RUB;RU000A102TD4
Биржевая облигация;exchange_bond;RU000A102TH5;СберИОС425;СберИОС 001Р-425R 7Г РБЧ;RUB;RU000A102TH5
Биржевая облигация;exchange_bond;RU000A102UC4;СберИОС413;СберИОС 001Р-413R 5Г НГ;RUB;RU000A102UC4
Биржевая облигация;exchange_bond;RU000A102V69;СберИОС410;СберИОС 001Р-410R 5Г МФН;RUB;RU000A102V69
Биржевая облигация;exchange_bond;RU000A102VD0;СберИОС426;СберИОС 001Р-426R 7Г СШАМ ИНД;RUB;RU000A102VD0
Биржевая облигация;exchange_bond;RU000A102W50;СберИОС430;СберИОС 001Р-430R 7Г СШАМ ИНД;RUB;RU000A102W50
Биржевая облигация;exchange_bond;RU000A102WA4;СберИОС404;СберИОС 001Р-404R 5Г ВП;RUB;RU000A102WA4
Биржевая облигация;exchange_bond;RU000A102WB2;СберИОС429;СберИОС 001Р-429R 5Г СШАМ ИНД;RUB;RU000A102WB2
Биржевая облигация;exchange_bond;RU000A102WC0;СберИОС431;СберИОС 001Р-431R 5Г РБЧ;RUB;RU000A102WC0
Биржевая облигация;exchange_bond;RU000A102X26;СберИОС432;СберИОС 001Р-432R 5Y СМШ;RUB;RU000A102X26
Биржевая облигация;exchange_bond;RU000A102YH5;Сбер Sb26R;Сбербанк ПАО 001Р-SBER26;RUB;RU000A102YH5
Биржевая облигация;exchange_bond;RU000A102ZZ4;СберИОС433;СберИОС 001Р-433R 5Y СМШ;RUB;RU000A102ZZ4
Биржевая облигация;exchange_bond;RU000A1031G2;СберИОС412;СберИОС 001Р-412R 5Y СМШ;RUB;RU000A1031G2
Биржевая облигация;exchange_bond;RU000A103216;СберИОС442;СберИОС 001Р-442R 5Г ТОВ КРЗ;RUB;RU000A103216
Биржевая облигация;exchange_bond;RU000A103273;СберИОС437;СберИОС 001Р-437R 5Г SBRIF ИНД;RUB;RU000A103273
Биржевая облигация;exchange_bond;RU000A103281;СберИОС405;СберИОС 001Р-405R 5Г ВП;RUB;RU000A103281
Биржевая облигация;exchange_bond;RU000A1032C9;СберИОС439;СберИОС 001Р-439R 7Г СШАМ ИНД;RUB;RU000A1032C9
